path,size_bytes,sha256,kind,source,purpose,license_status,candidate_policy
CODE/examples/holocubic_demo/assets/animation_frames/frame040.rgb565,115200,0d94dc215dbba0294c3bec066ed29ddbdb89cb7399325eb149369d13faad3f7a,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame041.rgb565,115200,cee8ed745ba03366bdffec2d0446ffa5578d1486a25cb0a6b166e83c0146a100,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame042.rgb565,115200,c8a19d657883a45fdd5fac673bf797398ea6f48277c279a1c50fed3e03a543cb,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame043.rgb565,115200,13a1491d6492a5a12533e955923da62d594170879c9d41125fe7aeb18ca77364,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame044.rgb565,115200,ac07c461d672c84e14ed89283110eaa8b2d31bc0e23a2ebef130ec8f7d59ccf9,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame045.rgb565,115200,16f4ef86cd6a0d95da35b680ff8bb9b5c44ee166af904605657214560beb834f,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame046.rgb565,115200,97f0c3e322887543c95125a7c9b118d4eed474f21f04323f56071e3ef94fa40d,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame047.rgb565,115200,e55265832141a25fccadc899ee0b22594c048cedf35a32b9f09357037c97f689,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame048.rgb565,115200,4b0aab1bf0544bbe6e8723929bb74d11a971b284d5d6cff833d2f1d575fcafc3,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/clock_orb.rgb565,35840,1e81a00df79c68ffaf83f48ebf001d945251b0b97a1502586aa02d1568d01605,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_clear.rgb565,35840,04ea0eaa3b5b741b2fc628bf2907c571e362563219fc5a4dd0f2734696dd9848,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_cloudy.rgb565,35840,ddd8896cce3faaa05ca73f6b594390d896065d38198691addafc1f3d6da92f0c,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_fog.rgb565,35840,ef2493c29b77af9020bac795890f3db93239741a1383e02e735aff857265d66f,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_offline.rgb565,35840,5e02e800c63af7be956bbb2eac01e3e4082d40c72c16de685f123a0cb3999f99,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_overcast.rgb565,35840,67e226196943d14855e3990250bac79001823c537f37f8e6e254bd790a76587c,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_rain.rgb565,35840,826b1695dec4d362e82cca0ea2a5f434bc134b327781bfb60a2a6970ca1c8aa1,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_snow.rgb565,35840,f19745c28438c96b1aba39ffc1551a50e12123f7c1ccb832cbfb51e71aef2943,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/main/assets/weather_storm.rgb565,35840,4cd8f3c7d167079b2ea4e5000a9f3ac2b376a969a3476d911533136390fddbd5,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/merit_plus_one_demo/assets/effects/merit_tap/merit_bubble_01_seed.png,2875,a7eb833ba6e873b7e676ff8df38b9f0d0a9e8b16e25e272a8fc95485c0e0c207,png,pending-review,inspect owning Example/component,pending,hold-until-s8
